GEOID,STATE,COUNTY,CNTY_FIPS,STUSAB,hh1_t,median_hh_income,hh1_h,hh1_ht,autos_per_hh,pct_transit_j2w,households,pct_renters,median_commute
53033020401,53,33,53033,WA,20.45364335,65833,26.11677159,46.57041494,1.940967283,8.669985775,1406,35.58406482,10.57
53033022901,53,33,53033,WA,21.09297616,121837,30.12846094,51.2214371,2.017964072,8.295156412,1002,21.45631068,7.25
53033022801,53,33,53033,WA,17.1854764,90095,27.09974806,44.28522445,1.335543767,19.48879982,3770,62.48142645,3.43
53033022802,53,33,53033,WA,19.2007589,110667,28.21048113,47.41124004,1.783823529,11.44758624,2040,29.58551691,3.8
53033022803,53,33,53033,WA,18.64445092,103056,28.06909699,46.71354792,1.421960073,23.11568868,2204,66.48351648,3.04
53033020402,53,33,53033,WA,21.40514112,75066,26.57506907,47.98021019,1.827126437,12.66744278,2175,28.16593886,10.76
53033032211,53,33,53033,WA,23.22355909,126905,26.93006861,50.1536277,1.986406619,12.46493195,1692,20.92624357,10.65
53033032307,53,33,53033,WA,25.14812005,118578,26.64901838,51.79713843,2.463308728,5.966385213,2303,10.47904192,11.59
53033032317,53,33,53033,WA,23.33952657,156325,26.49890983,49.8384364,2.246403712,4.602418163,2155,14.85688323,7.25
53033008002,53,33,53033,WA,11.13167577,42480,27.88338614,39.01506191,0.610328638,11.92411629,2343,70.43809524,5.52
53033032323,53,33,53033,WA,21.39185423,129938,26.24937813,47.64123236,1.70737223,6.860444866,2211,31.11209179,5.25
53033032326,53,33,53033,WA,23.72682412,146595,26.09310486,49.81992898,2.322057787,7.299640543,1419,15.46961326,10.01
53033029307,53,33,53033,WA,23.47387557,89643,26.72544402,50.19931959,2.423018293,1.384102156,1312,17.28395062,12.74
53033032215,53,33,53033,WA,26.56321881,198875,27.61636336,54.17958216,2.261107314,4.229236222,1463,7.635632954,9.4
53033001701,53,33,53033,WA,17.50883924,66042,26.19451999,43.70335923,1.393408857,25.69640286,1942,48.92086331,7.01
53033010401,53,33,53033,WA,20.33481959,58958,27.57067565,47.90549525,1.836979534,17.64928923,1417,20.13513514,6.52
53033032011,53,33,53033,WA,25.2017731,105313,26.67980943,51.88158253,2.055865922,3.373411245,1432,14.28571429,17.17
53033032329,53,33,53033,WA,22.69434795,143295,26.04891903,48.74326697,1.884076848,5.175602948,3071,30.01277139,6.23
53033032704,53,33,53033,WA,23.47507858,73241,25.21941982,48.69449839,2.039279869,1.099153283,2444,28.04212168,22.3
53033026200,53,33,53033,WA,17.85064393,49805,26.46855454,44.31919847,1.478392394,6.487337375,2314,66.37824475,9.28
53033020600,53,33,53033,WA,21.55633601,72639,26.82769013,48.38402614,2.000769231,17.13387806,1300,21.42322097,10.24
53033020700,53,33,53033,WA,19.39069613,61853,25.5592435,44.94993962,1.477393617,29.62759012,1504,49.31685101,10.05
53033020900,53,33,53033,WA,21.30160894,82188,26.64613331,47.94774226,1.855042017,15.546887,1428,28.9083558,9.46
53033020500,53,33,53033,WA,20.52554189,66250,25.8199904,46.3455323,1.68454142,13.07847599,2704,37.40072202,10.45
53033020800,53,33,53033,WA,21.90297247,88750,26.13155366,48.03452614,1.993792325,13.16319362,1772,24.12823397,10.46
53033011500,53,33,53033,WA,20.30485823,83457,26.10865249,46.41351072,1.761639676,20.9385131,1976,28.37506136,8.9
53033021300,53,33,53033,WA,19.83222254,70815,25.79696661,45.62918914,1.657322654,14.32903531,1748,42.06393718,8.96
53033021400,53,33,53033,WA,22.82357678,93229,26.91540186,49.73897865,2.210191083,10.40214275,1413,17.36204576,9.53
53033021500,53,33,53033,WA,23.39621108,118750,27.34727669,50.74348777,2.198739977,7.702259139,1746,8.901408451,10.19
53033029504,53,33,53033,WA,19.10802196,44608,25.28068742,44.38870937,1.682634731,7.010691709,2171,67.08860759,12.64
53033028403,53,33,53033,WA,18.2081787,31700,24.42889308,42.63707178,1.357859532,19.56490851,2392,56.34854772,8.79
53033031605,53,33,53033,WA,25.62381082,94643,25.79537767,51.41918849,2.455246914,2.913337324,1296,9.162491052,15.06
53033023803,53,33,53033,WA,14.29507362,101925,27.87310819,42.16818181,0.988268752,16.53791395,2813,71.07048068,3.59
53033029101,53,33,53033,WA,21.36377522,73375,27.32138656,48.68516178,1.818950931,8.97740419,1182,29.76,12.56
53033029407,53,33,53033,WA,19.66839445,48023,25.42622334,45.0946178,1.764217252,10.33788751,1565,47.34356553,13.41
53033029503,53,33,53033,WA,18.4004405,36582,24.99333034,43.39377084,1.483138334,15.65704963,2906,70.26340844,14.02
53033029408,53,33,53033,WA,19.44728182,47257,24.87740077,44.32468259,1.749375,8.590959946,1600,52.86153846,12.57
53033032322,53,33,53033,WA,25.04784458,159118,27.95435572,53.0022003,2.401360544,5.389965291,1176,7.823129252,8.57
53033032325,53,33,53033,WA,18.82497971,107273,27.29704228,46.122022,1.383699634,14.76688582,2184,43.55429036,4.8
53033032318,53,33,53033,WA,24.30495541,159735,27.02949619,51.3344516,2.126326427,10.22250361,1979,10.28543307,6.83
53033003400,53,33,53033,WA,18.50389313,103333,28.28357534,46.78746847,1.679521277,15.03013001,1504,33.98241206,5.85
53033004500,53,33,53033,WA,18.53791426,91538,28.54152424,47.0794385,1.825697211,29.92474546,1004,35.48387097,5.24
53033004700,53,33,53033,WA,15.71590267,75881,25.85800706,41.57390973,1.117497058,27.52983483,5098,72.24853192,6.31
53033003500,53,33,53033,WA,17.65568181,83550,27.18610605,44.84178786,1.470149254,23.77663721,1876,43.275154,6.62
53033023404,53,33,53033,WA,23.02172655,145167,27.58891314,50.61063969,2.317258883,5.852300775,1182,14.85714286,9.99
53033023804,53,33,53033,WA,15.08191981,102463,28.37104616,43.45296597,1.125781445,12.88658977,3999,63.11034631,4.15
53033023403,53,33,53033,WA,21.76158635,96333,27.7330216,49.49460795,1.981942715,9.580927262,1606,24.53058752,9.07
53033007700,53,33,53033,WA,16.25748411,110872,29.90568521,46.16316932,1.512842838,29.84986236,2297,42.22038795,5.88
53033031706,53,33,53033,WA,22.58267244,78186,25.97482631,48.55749876,2.152448657,2.698593785,2532,34.71563981,15
53033022001,53,33,53033,WA,20.60279287,85833,26.26351679,46.86630966,1.703225806,5.647087591,2170,36.64440735,8.93
53033022003,53,33,53033,WA,20.78786822,84864,26.32644802,47.11431623,2.028190671,13.27892423,1951,31.52834008,7.7
53033021906,53,33,53033,WA,20.88540742,79873,25.57484524,46.46025266,1.803571429,7.251619206,1568,25.01503307,8.6
53033021904,53,33,53033,WA,21.22238002,89044,26.76871742,47.99109744,1.934041364,9.957991567,1789,28.58707558,7.98
53033021903,53,33,53033,WA,19.91263164,76898,26.619087,46.53171864,1.616056572,13.04804531,2404,32.7831958,7.7
53033021905,53,33,53033,WA,20.85870074,88365,27.99224085,48.85094159,1.918099548,14.11739532,2210,16.84491979,8.77
53033032327,53,33,53033,WA,24.84515411,95086,27.73207619,52.5772303,1.95464135,2.495611962,1896,3.47950429,10.91
53033025602,53,33,53033,WA,23.52048093,104677,27.10866622,50.62914716,2.305772994,3.881610996,2044,5.463182898,10.9
53033011402,53,33,53033,WA,18.31732438,49014,24.43885691,42.7561813,1.292544987,20.51668543,1945,55.08474576,8.43
53033011401,53,33,53033,WA,18.9145243,58241,25.30587598,44.22040028,1.616647128,20.45577506,1706,48.89240506,7.9
